,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED
62,77500,562.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
63,80000,560.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
64,2500,178.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
65,5000,330.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
66,7500,468.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
67,10000,362.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
68,12500,424.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
69,15000,572.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
70,17500,460.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
71,20000,494.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
72,22500,758.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
73,25000,682.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
74,27500,1014.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
75,30000,1408.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
76,32500,2014.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
77,35000,1686.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
78,37500,2628.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
79,40000,2826.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
80,42500,3360.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
81,45000,2620.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
82,47500,2736.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
83,50000,2622.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
84,52500,3414.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
85,55000,3782.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
86,57500,4590.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
87,60000,3034.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
88,62500,3928.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
89,65000,4752.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
90,67500,4618.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
91,70000,4620.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
92,72500,4582.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
93,75000,3786.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
94,77500,3720.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
95,80000,4666.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,1
96,2500,216.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
97,5000,308.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
98,7500,270.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
99,10000,262.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
100,12500,382.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
101,15000,466.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
102,17500,462.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
103,20000,476.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
104,22500,554.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
105,25000,680.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
106,27500,702.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
107,30000,664.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
108,32500,560.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
109,35000,432.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
110,37500,590.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
111,40000,684.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
112,42500,588.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
113,45000,514.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
114,47500,536.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
115,50000,852.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
116,52500,732.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
117,55000,854.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
118,57500,708.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
119,60000,704.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
120,62500,782.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
121,65000,834.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
122,67500,740.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
123,70000,982.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
124,72500,828.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
125,75000,786.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
126,77500,572.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
127,80000,1074.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
128,2500,192.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
129,5000,202.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
130,7500,320.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
131,10000,380.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
132,12500,502.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
133,15000,534.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
134,17500,626.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
135,20000,394.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
136,22500,470.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
137,25000,490.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
138,27500,634.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
139,30000,740.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
140,32500,858.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
141,35000,656.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
142,37500,564.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
143,40000,478.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
144,42500,448.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
145,45000,472.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
146,47500,594.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
147,50000,670.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
148,52500,672.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
149,55000,652.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
150,57500,638.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
151,60000,478.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
152,62500,482.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
153,65000,492.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
154,67500,470.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
155,70000,562.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
156,72500,596.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
157,75000,570.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
158,77500,444.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
159,80000,538.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
160,2500,278.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
161,5000,298.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
162,7500,280.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
163,10000,354.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
164,12500,740.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
165,15000,378.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
166,17500,496.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
167,20000,474.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
168,22500,500.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
169,25000,476.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
170,27500,532.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
171,30000,518.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
172,32500,524.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
173,35000,532.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
174,37500,918.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
175,40000,668.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
176,42500,958.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
177,45000,1374.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
178,47500,1888.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
179,50000,2110.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
180,52500,2086.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
181,55000,2102.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
182,57500,1178.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
183,60000,554.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
184,62500,562.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
