,ENV,Step,EXPLORE,Reward,ACTION-BUFFER-SIZE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,FRAMESTACK,M,TIME-SIG,SEED,simple,rainbow,human,random,ARK2,normalized_reward
33,alien,30000,best fixed,526.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04321801765242975
34,alien,30000,inverse,747.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.07533442513659618
35,alien,30000,mean,508.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.040667256047189085
36,alien,32500,best fixed,518.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.0421165524138031
37,alien,32500,inverse,793.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.08194321656835608
38,alien,32500,mean,437.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03040623777156191
39,alien,35000,best fixed,547.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.046290525949651454
40,alien,35000,inverse,708.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.06965318337946927
41,alien,35000,mean,477.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03614545138335338
42,alien,37500,best fixed,526.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.043275989507094305
43,alien,37500,inverse,749.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.07562428440991899
44,alien,37500,mean,438.8,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03058015333555559
45,alien,40000,best fixed,496.8,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03898607226191684
46,alien,40000,inverse,782.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.08032000463774838
47,alien,40000,mean,454.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03284105566747344
48,alien,42500,best fixed,553.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.047218075624284414
49,alien,42500,inverse,826.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.08669690865085003
50,alien,42500,mean,549.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04663835707763881
51,alien,45000,best fixed,584.8,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.05173988028812011
52,alien,45000,inverse,812.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.08466789373759041
53,alien,45000,mean,484.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03718894476731546
54,alien,47500,best fixed,589.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.05243554254409485
55,alien,47500,inverse,814.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.08495775301091321
56,alien,47500,mean,474.8,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03579762025536602
57,alien,50000,best fixed,521.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.042580327251119585
58,alien,50000,inverse,820.8,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.08594327454021074
59,alien,50000,mean,592.8,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.05289931738141132
60,alien,52500,best fixed,517.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04200060870447398
61,alien,52500,inverse,892.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.09632023652516702
62,alien,52500,mean,605.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.054696444876012704
63,alien,55000,best fixed,593.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.05295728923607589
64,alien,55000,inverse,946.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.10408846505021813
65,alien,55000,mean,552.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04698618820562617
66,alien,57500,best fixed,517.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04200060870447398
67,alien,57500,inverse,877.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.09417527790257829
68,alien,57500,mean,558.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.047913737880259134
69,alien,60000,best fixed,544.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04582675111233496
70,alien,60000,inverse,875.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.09382744677459096
71,alien,60000,mean,544.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04582675111233496
72,alien,62500,best fixed,545.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04605863853099321
73,alien,62500,inverse,878.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.09429122161190741
74,alien,62500,mean,502.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03979767822722068
75,alien,65000,best fixed,526.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.043275989507094305
76,alien,65000,inverse,942.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.10356671835823707
77,alien,65000,mean,531.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04397165176306904
78,alien,67500,best fixed,537.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04484122958303744
79,alien,67500,inverse,896.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.09689995507181262
80,alien,67500,mean,461.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03388454905143553
81,alien,70000,best fixed,500.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03950781895389788
82,alien,70000,inverse,858.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.0913926288786794
83,alien,70000,mean,513.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04142089015782838
84,alien,72500,best fixed,527.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.043391933216423435
85,alien,72500,inverse,877.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.09411730604791375
86,alien,72500,mean,509.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.040841171611182774
