,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED
57,65000,1394.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,4
58,67500,1270.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,4
59,70000,1078.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,4
60,72500,1132.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,4
61,75000,1110.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,4
62,77500,1114.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,4
63,80000,1140.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,4
64,2500,244.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
65,5000,316.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
66,7500,430.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
67,10000,446.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
68,12500,484.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
69,15000,518.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
70,17500,582.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
71,20000,476.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
72,22500,448.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
73,25000,466.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
74,27500,534.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
75,30000,564.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
76,32500,590.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
77,35000,468.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
78,37500,492.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
79,40000,524.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
80,42500,482.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
81,45000,582.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
82,47500,474.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
83,50000,524.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
84,52500,554.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
85,55000,530.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
86,57500,538.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
87,60000,604.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
88,62500,502.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
89,65000,644.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
90,67500,596.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
91,70000,738.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
92,72500,712.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
93,75000,652.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
94,77500,652.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
95,80000,636.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
96,2500,207.5,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
97,5000,328.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
98,7500,366.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
99,10000,430.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
100,12500,492.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
101,15000,456.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
102,17500,492.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
103,20000,480.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
104,22500,528.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
105,25000,550.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
106,27500,554.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
107,30000,562.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
108,32500,590.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
109,35000,570.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
110,37500,558.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
111,40000,556.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
112,42500,592.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
113,45000,520.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
114,47500,546.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
115,50000,582.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
116,52500,588.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
117,55000,610.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
118,57500,566.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
119,60000,568.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
120,62500,568.0,alien,80000,sparse,inverse,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
