,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED,simple,rainbow,human,random,normalized_reward
40,22500,470.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.036434201817197184
41,25000,490.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.03944280642637945
42,27500,634.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.06110475961249173
43,30000,740.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.07705036404115773
44,32500,858.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.09480113123533307
45,35000,656.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.06441422468259221
46,37500,564.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.050574643480353815
47,40000,478.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.03763764366087009
48,42500,448.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.0331247367470967
49,45000,472.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.03673506227811541
50,47500,594.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.05508755039412721
51,50000,670.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.0665202479090198
52,52500,672.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.06682110836993803
53,55000,652.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.06381250376075577
54,57500,638.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.06170648053432818
55,60000,478.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.03763764366087009
56,62500,482.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.03823936458270654
57,65000,492.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.03974366688729767
58,67500,470.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.036434201817197184
59,70000,562.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.05027378301943559
60,72500,596.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.05538841085504543
61,75000,570.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.05147722486310849
62,77500,444.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.032523015825260244
63,80000,538.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0,405.2,739.9,6875.4,227.8,0.046663457488416875
64,2500,260.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.00484385342078344
65,5000,250.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.0033395511161923084
66,7500,342.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.017179132318430712
67,10000,484.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.03854022504362477
68,12500,412.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.027709248450568626
69,15000,468.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.03613334135627896
70,17500,458.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.03462903905168783
71,20000,544.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.04756603887117155
72,22500,510.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.04245141103556171
73,25000,442.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.03222215536434202
74,27500,600.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.055990131776881884
75,30000,452.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.03372645766893315
