,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED
62,77500,444.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
63,80000,538.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
64,2500,260.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
65,5000,250.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
66,7500,342.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
67,10000,484.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
68,12500,412.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
69,15000,468.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
70,17500,458.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
71,20000,544.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
72,22500,510.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
73,25000,442.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
74,27500,600.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
75,30000,452.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
76,32500,468.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
77,35000,488.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
78,37500,470.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
79,40000,350.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
80,42500,458.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4
