,ACTION-BUFFER-SIZE,ARK2,CLIP-REWARD,DISCOUNT,ENV,EPS-DECAY,EPSILON,EXPLORE,FRAMESTACK,K_ACT,K_EXP,M,PROJECTION,Reward,SEED,STATE-DIM,STICKY-ACTIONS,Step,TIME-SIG,Unnamed: 0,human,normalized_reward,rainbow,random,simple
62,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1508.5,1.5,250.0,,80000,100.0,62,7127.7,0.18561138567225613,739.9,227.8,616.9
64,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,31.5,1.5,250.0,,2500,100.0,64,1719.5,0.014996790570111452,188.6,5.8,74.3
66,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,54.85,1.5,250.0,,5000,100.0,66,1719.5,0.028622279278753576,188.6,5.8,74.3
68,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,68.6,1.5,250.0,,7500,100.0,68,1719.5,0.036645854000116704,188.6,5.8,74.3
70,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,79.75,1.5,250.0,,10000,100.0,70,1719.5,0.04315224368325845,188.6,5.8,74.3
72,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,94.4,1.5,250.0,,12500,100.0,72,1719.5,0.051700997840928985,188.6,5.8,74.3
74,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,107.45,1.5,250.0,,15000,100.0,74,1719.5,0.05931609966738635,188.6,5.8,74.3
76,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,127.6,1.5,250.0,,17500,100.0,76,1719.5,0.07107428371360214,188.6,5.8,74.3
78,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,133.25,1.5,250.0,,20000,100.0,78,1719.5,0.07437124350819864,188.6,5.8,74.3
80,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,136.7,1.5,250.0,,22500,100.0,80,1719.5,0.076384431347377,188.6,5.8,74.3
82,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,149.75,1.5,250.0,,25000,100.0,82,1719.5,0.08399953317383438,188.6,5.8,74.3
84,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,161.25,1.5,250.0,,27500,100.0,84,1719.5,0.090710159304429,188.6,5.8,74.3
86,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,171.3,1.5,250.0,,30000,100.0,86,1719.5,0.0965746630098617,188.6,5.8,74.3
88,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,183.5,1.5,250.0,,32500,100.0,88,1719.5,0.10369376203536207,188.6,5.8,74.3
90,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,186.3,1.5,250.0,,35000,100.0,90,1719.5,0.10532765361498513,188.6,5.8,74.3
92,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,190.2,1.5,250.0,,37500,100.0,92,1719.5,0.10760343117231723,188.6,5.8,74.3
94,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,203.6,1.5,250.0,,40000,100.0,94,1719.5,0.11542276944622748,188.6,5.8,74.3
96,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,202.85,1.5,250.0,,42500,100.0,96,1719.5,0.11498511991597128,188.6,5.8,74.3
98,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,207.65,1.5,250.0,,45000,100.0,98,1719.5,0.11778607690961078,188.6,5.8,74.3
100,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,206.5,1.5,250.0,,47500,100.0,100,1719.5,0.11711501429655133,188.6,5.8,74.3
102,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,213.15,1.5,250.0,,50000,100.0,102,1719.5,0.12099550679815604,188.6,5.8,74.3
104,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,217.6,1.5,250.0,,52500,100.0,104,1719.5,0.12359222734434265,188.6,5.8,74.3
106,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,222.0,1.5,250.0,,55000,100.0,106,1719.5,0.12615977125517885,188.6,5.8,74.3
108,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,230.55,1.5,250.0,,57500,100.0,108,1719.5,0.1311489759000992,188.6,5.8,74.3
110,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,233.3,1.5,250.0,,60000,100.0,110,1719.5,0.1327536908443718,188.6,5.8,74.3
112,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,225.2,1.5,250.0,,62500,100.0,112,1719.5,0.12802707591760518,188.6,5.8,74.3
114,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,230.5,1.5,250.0,,65000,100.0,114,1719.5,0.1311197992647488,188.6,5.8,74.3
116,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,233.75,1.5,250.0,,67500,100.0,116,1719.5,0.1330162805625255,188.6,5.8,74.3
118,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,239.1,1.5,250.0,,70000,100.0,118,1719.5,0.13613818054501953,188.6,5.8,74.3
120,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,238.55,1.5,250.0,,72500,100.0,120,1719.5,0.13581723755616498,188.6,5.8,74.3
122,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,243.85,1.5,250.0,,75000,100.0,122,1719.5,0.13890996090330862,188.6,5.8,74.3
124,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,247.9,1.5,250.0,,77500,100.0,124,1719.5,0.14127326836669193,188.6,5.8,74.3
126,80000.0,211.52,,0.95,amidar,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,251.7,1.5,250.0,,80000,100.0,126,1719.5,0.1434906926533232,188.6,5.8,74.3
128,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,264.3375,1.5,250.0,,2500,100.0,128,742.0,0.08071112394149339,431.2,222.4,527.2
130,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,346.15,1.5,250.0,,5000,100.0,130,742.0,0.2381639722863741,431.2,222.4,527.2
132,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,278.25,1.5,250.0,,7500,100.0,132,742.0,0.10748652809853733,431.2,222.4,527.2
134,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,264.6,1.5,250.0,,10000,100.0,134,742.0,0.08121632024634337,431.2,222.4,527.2
136,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,258.3,1.5,250.0,,12500,100.0,136,742.0,0.06909160892994612,431.2,222.4,527.2
138,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,271.95,1.5,250.0,,15000,100.0,138,742.0,0.09536181678214008,431.2,222.4,527.2
140,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,270.90000000000003,1.5,250.0,,17500,100.0,140,742.0,0.09334103156274062,431.2,222.4,527.2
142,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,268.8,1.5,250.0,,20000,100.0,142,742.0,0.0892994611239415,431.2,222.4,527.2
144,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,271.95,1.5,250.0,,22500,100.0,144,742.0,0.09536181678214008,431.2,222.4,527.2
