,ACTION-BUFFER-SIZE,ARK2,CLIP-REWARD,DISCOUNT,ENV,EPS-DECAY,EPSILON,EXPLORE,FRAMESTACK,K_ACT,K_EXP,M,PROJECTION,Reward,SEED,STATE-DIM,STICKY-ACTIONS,Step,TIME-SIG,Unnamed: 0,human,normalized_reward,rainbow,random,simple
780,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,181.0,1.5,250.0,,17500,100.0,780,4334.7,0.027122613889214192,866.8,65.2,236.9
782,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,200.0,1.5,250.0,,20000,100.0,782,4334.7,0.03157278369832533,866.8,65.2,236.9
784,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,197.0,1.5,250.0,,22500,100.0,784,4334.7,0.03087012530741305,866.8,65.2,236.9
786,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,259.0,1.5,250.0,,25000,100.0,786,4334.7,0.0453917320529336,866.8,65.2,236.9
788,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,227.5,1.5,250.0,,27500,100.0,788,4334.7,0.038013818948354615,866.8,65.2,236.9
790,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,306.5,1.5,250.0,,30000,100.0,790,4334.7,0.056517156575711436,866.8,65.2,236.9
792,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,380.5,1.5,250.0,,32500,100.0,792,4334.7,0.07384939688488114,866.8,65.2,236.9
794,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,488.0,1.5,250.0,,35000,100.0,794,4334.7,0.09902798922590468,866.8,65.2,236.9
796,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,504.5,1.5,250.0,,37500,100.0,796,4334.7,0.10289261037592223,866.8,65.2,236.9
798,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,598.0,1.5,250.0,,40000,100.0,798,4334.7,0.12479213022602174,866.8,65.2,236.9
800,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,682.5,1.5,250.0,,42500,100.0,800,4334.7,0.14458367490338447,866.8,65.2,236.9
802,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,612.0,1.5,250.0,,45000,100.0,802,4334.7,0.12807120271694578,866.8,65.2,236.9
804,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,456.0,1.5,250.0,,47500,100.0,804,4334.7,0.09153296638950698,866.8,65.2,236.9
806,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,557.0,1.5,250.0,,50000,100.0,806,4334.7,0.11518913221688724,866.8,65.2,236.9
808,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,559.0,1.5,250.0,,52500,100.0,808,4334.7,0.11565757114416207,866.8,65.2,236.9
810,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,847.0,1.5,250.0,,55000,100.0,810,4334.7,0.18311277667174145,866.8,65.2,236.9
812,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,618.5,1.5,250.0,,57500,100.0,812,4334.7,0.12959362923058906,866.8,65.2,236.9
814,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,744.5,1.5,250.0,,60000,100.0,814,4334.7,0.159105281648905,866.8,65.2,236.9
816,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,497.5,1.5,250.0,,62500,100.0,816,4334.7,0.10125307413046024,866.8,65.2,236.9
818,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,484.0,1.5,250.0,,65000,100.0,818,4334.7,0.09809111137135497,866.8,65.2,236.9
820,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,785.0,1.5,250.0,,67500,100.0,820,4334.7,0.16859116992622086,866.8,65.2,236.9
822,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,939.0,1.5,250.0,,70000,100.0,822,4334.7,0.2046609673263848,866.8,65.2,236.9
824,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,566.0,1.5,250.0,,72500,100.0,824,4334.7,0.11729710738962408,866.8,65.2,236.9
826,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,625.5,1.5,250.0,,75000,100.0,826,4334.7,0.13123316547605104,866.8,65.2,236.9
828,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,585.0,1.5,250.0,,77500,100.0,828,4334.7,0.1217472771987352,866.8,65.2,236.9
830,80000.0,402.0,,0.95,frostbite,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,785.0,1.5,250.0,,80000,100.0,830,4334.7,0.16859116992622086,866.8,65.2,236.9
832,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,256.25,1.5,250.0,,2500,100.0,832,2412.5,-0.0006264791869692435,349.5,257.6,596.8
834,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,218.0,1.5,250.0,,5000,100.0,834,2412.5,-0.01837672281776417,349.5,257.6,596.8
836,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,329.0,1.5,250.0,,7500,100.0,836,2412.5,0.033133788110817186,349.5,257.6,596.8
838,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,381.0,1.5,250.0,,10000,100.0,838,2412.5,0.057264838275558026,349.5,257.6,596.8
840,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,275.0,1.5,250.0,,12500,100.0,840,2412.5,0.00807462063204788,349.5,257.6,596.8
842,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,350.0,1.5,250.0,,15000,100.0,842,2412.5,0.04287901990811637,349.5,257.6,596.8
844,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,343.0,1.5,250.0,,17500,100.0,844,2412.5,0.03963060930901665,349.5,257.6,596.8
846,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,461.0,1.5,250.0,,20000,100.0,846,2412.5,0.09438953083669774,349.5,257.6,596.8
848,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,487.0,1.5,250.0,,22500,100.0,848,2412.5,0.10645505591906816,349.5,257.6,596.8
850,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,462.0,1.5,250.0,,25000,100.0,850,2412.5,0.094853589493712,349.5,257.6,596.8
852,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,558.0,1.5,250.0,,27500,100.0,852,2412.5,0.13940322056707966,349.5,257.6,596.8
854,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,563.0,1.5,250.0,,30000,100.0,854,2412.5,0.1417235138521509,349.5,257.6,596.8
856,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,580.0,1.5,250.0,,32500,100.0,856,2412.5,0.14961251102139309,349.5,257.6,596.8
858,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,517.0,1.5,250.0,,35000,100.0,858,2412.5,0.12037681562949555,349.5,257.6,596.8
860,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,506.0,1.5,250.0,,37500,100.0,860,2412.5,0.11527217040233885,349.5,257.6,596.8
862,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,583.0,1.5,250.0,,40000,100.0,862,2412.5,0.15100468699243585,349.5,257.6,596.8
864,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,684.0,1.5,250.0,,42500,100.0,864,2412.5,0.19787461135087472,349.5,257.6,596.8
866,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,612.0,1.5,250.0,,45000,100.0,866,2412.5,0.16446238804584898,349.5,257.6,596.8
868,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,582.0,1.5,250.0,,47500,100.0,868,2412.5,0.1505406283354216,349.5,257.6,596.8
870,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,623.0,1.5,250.0,,50000,100.0,870,2412.5,0.16956703327300568,349.5,257.6,596.8
872,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,580.0,1.5,250.0,,52500,100.0,872,2412.5,0.14961251102139309,349.5,257.6,596.8
874,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,785.0,1.5,250.0,,55000,100.0,874,2412.5,0.24474453570931365,349.5,257.6,596.8
876,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,724.0,1.5,250.0,,57500,100.0,876,2412.5,0.2164369576314446,349.5,257.6,596.8
878,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,737.0,1.5,250.0,,60000,100.0,878,2412.5,0.2224697201726298,349.5,257.6,596.8
880,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,845.0,1.5,250.0,,62500,100.0,880,2412.5,0.2725880551301684,349.5,257.6,596.8
882,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,892.0,1.5,250.0,,65000,100.0,882,2412.5,0.29439881200983803,349.5,257.6,596.8
884,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,810.0,1.5,250.0,,67500,100.0,884,2412.5,0.2563460021346698,349.5,257.6,596.8
886,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,746.0,1.5,250.0,,70000,100.0,886,2412.5,0.22664624808575798,349.5,257.6,596.8
888,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,727.0,1.5,250.0,,72500,100.0,888,2412.5,0.21782913360248732,349.5,257.6,596.8
890,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,858.0,1.5,250.0,,75000,100.0,890,2412.5,0.2786208176713537,349.5,257.6,596.8
892,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,870.0,1.5,250.0,,77500,100.0,892,2412.5,0.28418952155552457,349.5,257.6,596.8
894,80000.0,1078.4,,0.95,gopher,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,794.0,1.5,250.0,,80000,100.0,894,2412.5,0.24892106362244185,349.5,257.6,596.8
896,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,31.25,1.5,250.0,,2500,100.0,896,30826.4,-0.033415102317496316,6857.0,1027.0,2656.6
898,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,581.75,1.5,250.0,,5000,100.0,898,30826.4,-0.014941576004886003,6857.0,1027.0,2656.6
900,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1184.25,1.5,250.0,,7500,100.0,900,30826.4,0.005276951884937282,6857.0,1027.0,2656.6
902,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1916.5,1.5,250.0,,10000,100.0,902,30826.4,0.029849594287133293,6857.0,1027.0,2656.6
904,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,2507.0,1.5,250.0,,12500,100.0,904,30826.4,0.04966542950529205,6857.0,1027.0,2656.6
906,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,2836.75,1.5,250.0,,15000,100.0,906,30826.4,0.06073108854540695,6857.0,1027.0,2656.6
908,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,3024.25,1.5,250.0,,17500,100.0,908,30826.4,0.06702316154016523,6857.0,1027.0,2656.6
910,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,3069.25,1.5,250.0,,20000,100.0,910,30826.4,0.06853325905890723,6857.0,1027.0,2656.6
912,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,3101.25,1.5,250.0,,22500,100.0,912,30826.4,0.06960710618334598,6857.0,1027.0,2656.6
914,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,2810.75,1.5,250.0,,25000,100.0,914,30826.4,0.059858587756800474,6857.0,1027.0,2656.6
916,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,3258.5,1.5,250.0,,27500,100.0,916,30826.4,0.07488405806828324,6857.0,1027.0,2656.6
918,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,3923.0,1.5,250.0,,30000,100.0,918,30826.4,0.0971831647617066,6857.0,1027.0,2656.6
920,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4189.0,1.5,250.0,,32500,100.0,920,30826.4,0.1061095189836037,6857.0,1027.0,2656.6
922,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,3963.75,1.5,250.0,,35000,100.0,922,30826.4,0.09855064195923408,6857.0,1027.0,2656.6
924,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,3957.75,1.5,250.0,,37500,100.0,924,30826.4,0.0983492956234018,6857.0,1027.0,2656.6
926,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4216.75,1.5,250.0,,40000,100.0,926,30826.4,0.10704074578682793,6857.0,1027.0,2656.6
928,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,3992.0,1.5,250.0,,42500,100.0,928,30826.4,0.09949864762377764,6857.0,1027.0,2656.6
930,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4003.0,1.5,250.0,,45000,100.0,930,30826.4,0.09986778257280347,6857.0,1027.0,2656.6
932,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4622.5,1.5,250.0,,47500,100.0,932,30826.4,0.12065679174748485,6857.0,1027.0,2656.6
934,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4625.0,1.5,250.0,,50000,100.0,934,30826.4,0.1207406860540816,6857.0,1027.0,2656.6
936,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4448.25,1.5,250.0,,52500,100.0,936,30826.4,0.11480935857768948,6857.0,1027.0,2656.6
938,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4236.0,1.5,250.0,,55000,100.0,938,30826.4,0.1076867319476231,6857.0,1027.0,2656.6
940,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4454.25,1.5,250.0,,57500,100.0,940,30826.4,0.11501070491352175,6857.0,1027.0,2656.6
942,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4022.5,1.5,250.0,,60000,100.0,942,30826.4,0.10052215816425833,6857.0,1027.0,2656.6
944,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4836.5,1.5,250.0,,62500,100.0,944,30826.4,0.12783814439216895,6857.0,1027.0,2656.6
946,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,3992.0,1.5,250.0,,65000,100.0,946,30826.4,0.09949864762377764,6857.0,1027.0,2656.6
948,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4445.75,1.5,250.0,,67500,100.0,948,30826.4,0.1147254642710927,6857.0,1027.0,2656.6
950,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4668.5,1.5,250.0,,70000,100.0,950,30826.4,0.12220044698886555,6857.0,1027.0,2656.6
952,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4218.25,1.5,250.0,,72500,100.0,952,30826.4,0.107091082370786,6857.0,1027.0,2656.6
954,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4437.25,1.5,250.0,,75000,100.0,954,30826.4,0.11444022362866366,6857.0,1027.0,2656.6
956,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4434.25,1.5,250.0,,77500,100.0,956,30826.4,0.11433955046074752,6857.0,1027.0,2656.6
958,80000.0,6625.6,,0.95,hero,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,4877.0,1.5,250.0,,80000,100.0,958,30826.4,0.12919723215903675,6857.0,1027.0,2656.6
960,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,78.125,1.5,250.0,,2500,100.0,960,302.8,0.17941928414901387,301.6,29.0,100.5
962,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,97.5,1.5,250.0,,5000,100.0,962,302.8,0.2501826150474799,301.6,29.0,100.5
964,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,100.0,1.5,250.0,,7500,100.0,964,302.8,0.25931336742147554,301.6,29.0,100.5
966,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,115.0,1.5,250.0,,10000,100.0,966,302.8,0.3140978816654492,301.6,29.0,100.5
968,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,137.5,1.5,250.0,,12500,100.0,968,302.8,0.3962746530314098,301.6,29.0,100.5
970,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,165.0,1.5,250.0,,15000,100.0,970,302.8,0.4967129291453616,301.6,29.0,100.5
972,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,170.0,1.5,250.0,,17500,100.0,972,302.8,0.5149744338933528,301.6,29.0,100.5
974,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,197.5,1.5,250.0,,20000,100.0,974,302.8,0.6154127100073046,301.6,29.0,100.5
976,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,207.5,1.5,250.0,,22500,100.0,976,302.8,0.651935719503287,301.6,29.0,100.5
978,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,207.5,1.5,250.0,,25000,100.0,978,302.8,0.651935719503287,301.6,29.0,100.5
980,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,230.0,1.5,250.0,,27500,100.0,980,302.8,0.7341124908692476,301.6,29.0,100.5
982,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,262.5,1.5,250.0,,30000,100.0,982,302.8,0.8528122717311906,301.6,29.0,100.5
984,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,252.5,1.5,250.0,,32500,100.0,984,302.8,0.8162892622352081,301.6,29.0,100.5
986,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,232.5,1.5,250.0,,35000,100.0,986,302.8,0.7432432432432432,301.6,29.0,100.5
988,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,257.5,1.5,250.0,,37500,100.0,988,302.8,0.8345507669831994,301.6,29.0,100.5
990,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,262.5,1.5,250.0,,40000,100.0,990,302.8,0.8528122717311906,301.6,29.0,100.5
992,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,252.5,1.5,250.0,,42500,100.0,992,302.8,0.8162892622352081,301.6,29.0,100.5
994,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,245.0,1.5,250.0,,45000,100.0,994,302.8,0.7888970051132213,301.6,29.0,100.5
996,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,277.5,1.5,250.0,,47500,100.0,996,302.8,0.9075967859751644,301.6,29.0,100.5
998,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,287.5,1.5,250.0,,50000,100.0,998,302.8,0.9441197954711468,301.6,29.0,100.5
1000,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,267.5,1.5,250.0,,52500,100.0,1000,302.8,0.8710737764791818,301.6,29.0,100.5
1002,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,257.5,1.5,250.0,,55000,100.0,1002,302.8,0.8345507669831994,301.6,29.0,100.5
1004,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,255.0,1.5,250.0,,57500,100.0,1004,302.8,0.8254200146092038,301.6,29.0,100.5
1006,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,257.5,1.5,250.0,,60000,100.0,1006,302.8,0.8345507669831994,301.6,29.0,100.5
1008,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,290.0,1.5,250.0,,62500,100.0,1008,302.8,0.9532505478451424,301.6,29.0,100.5
1010,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,285.0,1.5,250.0,,65000,100.0,1010,302.8,0.9349890430971513,301.6,29.0,100.5
1012,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,285.0,1.5,250.0,,67500,100.0,1012,302.8,0.9349890430971513,301.6,29.0,100.5
1014,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,300.0,1.5,250.0,,70000,100.0,1014,302.8,0.9897735573411248,301.6,29.0,100.5
1016,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,302.5,1.5,250.0,,72500,100.0,1016,302.8,0.9989043097151205,301.6,29.0,100.5
1018,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,300.0,1.5,250.0,,75000,100.0,1018,302.8,0.9897735573411248,301.6,29.0,100.5
1020,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,280.0,1.5,250.0,,77500,100.0,1020,302.8,0.9167275383491601,301.6,29.0,100.5
1022,80000.0,182.0,,0.95,jamesbond,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,305.0,1.5,250.0,,80000,100.0,1022,302.8,1.008035062089116,301.6,29.0,100.5
1024,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,60.0,1.5,250.0,,2500,100.0,1024,3035.0,0.002681863895407308,779.3,52.0,51.2
1026,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,130.0,1.5,250.0,,5000,100.0,1026,3035.0,0.026148172980221245,779.3,52.0,51.2
1028,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,210.0,1.5,250.0,,7500,100.0,1028,3035.0,0.05296681193429433,779.3,52.0,51.2
1030,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,310.0,1.5,250.0,,10000,100.0,1030,3035.0,0.08649011062688569,779.3,52.0,51.2
1032,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,460.0,1.5,250.0,,12500,100.0,1032,3035.0,0.13677505866577272,779.3,52.0,51.2
1034,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,500.0,1.5,250.0,,15000,100.0,1034,3035.0,0.15018437814280924,779.3,52.0,51.2
1036,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,640.0,1.5,250.0,,17500,100.0,1036,3035.0,0.19711699631243715,779.3,52.0,51.2
1038,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,620.0,1.5,250.0,,20000,100.0,1038,3035.0,0.19041233657391887,779.3,52.0,51.2
1040,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,710.0,1.5,250.0,,22500,100.0,1040,3035.0,0.2205833053972511,779.3,52.0,51.2
1042,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,670.0,1.5,250.0,,25000,100.0,1042,3035.0,0.20717398592021452,779.3,52.0,51.2
1044,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,650.0,1.5,250.0,,27500,100.0,1044,3035.0,0.20046932618169627,779.3,52.0,51.2
1046,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,770.0,1.5,250.0,,30000,100.0,1046,3035.0,0.2406972846128059,779.3,52.0,51.2
1048,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,750.0,1.5,250.0,,32500,100.0,1048,3035.0,0.2339926248742876,779.3,52.0,51.2
1050,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,750.0,1.5,250.0,,35000,100.0,1050,3035.0,0.2339926248742876,779.3,52.0,51.2
1052,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,790.0,1.5,250.0,,37500,100.0,1052,3035.0,0.24740194435132415,779.3,52.0,51.2
1054,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,820.0,1.5,250.0,,40000,100.0,1054,3035.0,0.2574589339591016,779.3,52.0,51.2
1056,80000.0,1152.0,,0.95,kangaroo,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,860.0,1.5,250.0,,42500,100.0,1056,3035.0,0.2708682534361381,779.3,52.0,51.2
